year,month,day,max,min
2014,10,30,12,6
2014,10,31,13,4
2013,10,01,19,5
2013,10,02,15,3
2013,10,03,15,3
2013,10,04,15,3
2013,10,05,15,3
2013,10,06,18,7
2013,10,07,21,6
2013,10,08,22,8
2013,10,09,18,11
2013,10,10,19,11
2013,10,11,21,11
2013,10,12,23,13
2013,10,13,24,10
2013,10,14,22,13
2013,10,15,20,11
2013,10,16,13,7
2013,10,17,16,8
2013,10,18,15,8
2013,10,19,15,7
2013,10,20,19,10
2013,10,21,22,14
2013,10,22,22,14
2013,10,23,24,14
2013,10,24,23,13
2013,10,25,23,14
2013,10,26,24,14
2013,10,27,22,13
2013,10,28,21,12
2013,10,29,18,11
2013,10,30,19,8
2013,10,31,17,7
2013,12,01,6,-1
2013,12,02,8,-1
2013,12,03,4,-2
2013,12,04,3,-1
2013,12,05,5,-1
2013,12,06,4,-1
2013,12,07,3,-1
2013,12,08,4,0
2013,12,09,6,2
2013,12,10,4,-1
2013,12,11,4,0
2013,12,12,7,2
2013,12,13,7,-2
2013,12,14,6,0
2013,12,15,4,-1
2013,12,16,5,-1
2013,12,17,4,-3
2013,12,18,4,-3
2013,12,19,0,-3
2013,12,20,3,-2
2013,12,21,4,-2
2013,12,22,3,-1
2013,12,23,5,0
2013,12,24,6,0
2013,12,25,7,1
2013,12,26,6,3
2013,12,27,8,2
2013,12,28,9,3
2013,12,29,8,3
2013,12,30,8,1
2013,12,31,5,0
2013,11,01,16,9
2013,11,02,19,11
2013,11,03,17,9
2013,11,04,14,10
2013,11,05,14,6
2013,11,06,13,8
2013,11,07,17,9
2013,11,08,16,11
2013,11,09,17,10
2013,11,10,13,7
2013,11,11,10,5
2013,11,12,12,5
2013,11,13,10,6
2013,11,14,10,5
2013,11,15,12,4
2013,11,16,14,5
2013,11,17,13,5
2013,11,18,9,3
2013,11,19,10,5
2013,11,20,9,4
2013,11,21,10,4
2013,11,22,11,7
2013,11,23,12,6
2013,11,24,9,3
2013,11,25,3,-2
2013,11,26,4,-2
2013,11,27,4,-2
2013,11,28,3,-2
2013,11,29,6,-1
2013,11,30,6,0
2012,10,01,25,16
2012,10,02,23,13
2012,10,03,20,14
2012,10,04,22,13
2012,10,05,20,11
2012,10,06,23,14
2012,10,07,22,8
2012,10,08,15,6
2012,10,09,16,7
2012,10,10,16,7
2012,10,11,16,8
2012,10,12,16,9
2012,10,13,17,10
2012,10,14,15,11
2012,10,15,20,12
2012,10,16,16,7
2012,10,17,17,9
2012,10,18,17,9
2012,10,19,19,10
2012,10,20,21,11
2012,10,21,21,12
2012,10,22,23,12
2012,10,23,20,9
2012,10,24,18,8
2012,10,25,15,8
2012,10,26,12,9
2012,10,27,14,5
2012,10,28,6,2
2012,10,29,4,-1
2012,10,30,5,1
2012,10,31,7,2
2016,11,01,13,5
2016,11,02,15,5
2016,11,03,10,1
2016,11,04,10,2
2016,11,05,9,1
2016,11,06,15,7
2016,11,07,10,4
2016,11,08,8,4
2016,11,09,8,1
2016,11,10,6,-1
2016,11,11,9,3
2016,11,12,6,0
2016,11,13,5,0
2016,11,14,6,1
2016,11,15,6,-1
2016,11,16,4,1
2016,11,17,7,2
2016,11,18,12,3
2016,11,19,11,8
2016,11,20,13,6
2016,11,21,12,5
2016,11,22,11,5
2016,11,23,10,5
2016,11,24,9,4
2016,11,25,10,4
2016,11,26,11,4
2016,11,27,10,-1
2016,11,28,4,-1
2016,11,29,3,-2
2016,11,30,4,-5
